Date,Amount,Category,Description
2025/1/5,110,Groceries,Weekly grocery shopping at Target
2025/1/8,45,Transportation,Car wash at Speedy Wash
2025/1/12,25,Dining Out,Lunch at Subway
2025/1/16,15,Entertainment,Netflix subscription renewal
2025/1/20,12,Utilities,Monthly electricity bill payment
2025/2/7,120,Groceries,Weekly grocery shopping at Sprouts
2025/2/10,50,Transportation,Public transit pass
2025/2/14,30,Dining Out,Valentine's Day dinner at The Melting Pot
2025/2/18,18,Entertainment,Book purchase at Barnes & Noble
2025/2/22,14,Utilities,Monthly water bill payment
2025/3/6,130,Groceries,Weekly grocery shopping at Aldi
2025/3/9,55,Transportation,Car oil change at Jiffy Lube
2025/3/13,35,Dining Out,Lunch at Chipotle
2025/3/17,20,Entertainment,Movie night at home
2025/3/21,16,Utilities,Monthly internet bill payment
2025/4/14,100,Groceries,Weekly grocery shopping at Walmart
2025/4/15,50,Transportation,Fuel for car at Shell Gas Station
2025/4/16,30,Dining Out,Dinner with friends at Olive Garden
2025/4/17,20,Entertainment,Movie tickets at AMC Theater
2025/4/18,15,Utilities,Monthly electricity bill payment
2025/5/10,120,Groceries,Monthly grocery shopping at Costco
2025/5/12,60,Transportation,Car maintenance at AutoShop
2025/5/15,35,Dining Out,Lunch at Chipotle
2025/5/18,25,Entertainment,Concert tickets at Live Arena
2025/5/20,18,Utilities,Monthly water bill payment
2025/6/5,150,Groceries,Weekly grocery shopping at Trader Joe's
2025/6/8,70,Transportation,New tires for car at Tire Center
2025/6/12,40,Dining Out,Dinner at Cheesecake Factory
2025/6/15,30,Entertainment,Zoo tickets
2025/6/20,20,Utilities,Monthly internet bill payment
2025/7/7,130,Groceries,Weekly grocery shopping at Whole Foods
2025/7/10,55,Transportation,Car wash at Quick Wash
2025/7/14,45,Dining Out,Brunch at IHOP
2025/7/18,22,Entertainment,Museum tickets
2025/7/22,17,Utilities,Monthly gas bill payment
2025/8/9,140,Groceries,Weekly grocery shopping at Kroger
2025/8/12,65,Transportation,Oil change at Jiffy Lube
2025/8/16,50,Dining Out,Dinner at Red Lobster
2025/8/19,28,Entertainment,Amusement park tickets
2025/8/23,19,Utilities,Monthly phone bill payment
2025/9/6,160,Groceries,Weekly grocery shopping at Publix
2025/9/9,75,Transportation,Car detailing at Detail Pro
2025/9/13,55,Dining Out,Dinner at Outback Steakhouse
2025/9/17,32,Entertainment,Theater tickets
2025/9/21,21,Utilities,Monthly cable bill payment
2025/10/5,170,Groceries,Weekly grocery shopping at Aldi
2025/10/8,80,Transportation,Car battery replacement at AutoZone
2025/10/12,60,Dining Out,Dinner at Texas Roadhouse
2025/10/16,35,Entertainment,Bowling night with friends
2025/10/20,22,Utilities,Monthly trash bill payment
2025/11/7,180,Groceries,Weekly grocery shopping at Safeway
2025/11/10,85,Transportation,Car inspection at DMV
2025/11/14,65,Dining Out,Lunch at Panera Bread
2025/11/18,38,Entertainment,Video game purchase
2025/11/22,23,Utilities,Monthly security system payment
2025/12/6,190,Groceries,Weekly grocery shopping at Wegmans
2025/12/9,90,Transportation,New windshield wipers at AutoParts
2025/12/13,70,Dining Out,Dinner at P.F. Chang's
2025/12/17,40,Entertainment,Holiday light show tickets
2025/12/21,24,Utilities,Monthly heating bill payment
